<X> <Y>
2.250380000000000e-01 3.308696857483759e-04
2.256620000000000e-01 3.278664536075372e-04
2.262860000000000e-01 3.249678686984667e-04
2.269100000000000e-01 3.221684003542684e-04
2.275340000000000e-01 3.194625619202590e-04
2.281580000000000e-01 3.168449280592270e-04
2.287820000000000e-01 3.143101509542765e-04
2.294060000000000e-01 3.118529754000692e-04
2.300300000000000e-01 3.094682527784254e-04
2.306540000000000e-01 3.071509539191277e-04
2.312780000000000e-01 3.048961808513770e-04
2.319020000000000e-01 3.026991774556950e-04
2.325260000000000e-01 3.005553390301177e-04
2.331500000000000e-01 2.984602207883172e-04
2.337740000000000e-01 2.964095453107604e-04
2.343980000000000e-01 2.943992089732543e-04
2.350230000000000e-01 2.924221512415894e-04
2.356470000000000e-01 2.904809531534512e-04
2.362710000000000e-01 2.885688700990634e-04
2.368950000000000e-01 2.866825387828365e-04
2.375190000000000e-01 2.848187875517652e-04
2.381430000000000e-01 2.829746373430874e-04
2.387670000000000e-01 2.811473018466313e-04
2.393910000000000e-01 2.793341869221767e-04
2.400150000000000e-01 2.775328893129966e-04
2.406390000000000e-01 2.757411946974124e-04
2.412630000000000e-01 2.739570751206267e-04
2.418870000000000e-01 2.721786858493271e-04
2.425110000000000e-01 2.704043616915974e-04
2.431350000000000e-01 2.686326128245396e-04
2.437590000000000e-01 2.668621201716878e-04
2.443830000000000e-01 2.650917303718405e-04
2.450080000000000e-01 2.633176106069905e-04
2.456320000000000e-01 2.615445986067512e-04
2.462560000000000e-01 2.597691670931411e-04
2.468800000000000e-01 2.579907687241466e-04
2.475040000000000e-01 2.562089919842703e-04
2.481280000000000e-01 2.544235545323175e-04
2.487520000000000e-01 2.526342964079459e-04
2.493760000000000e-01 2.508411731305017e-04
2.500000000000000e-01 2.490442487222520e-04
