<X> <Y>
2.412630000000000e-01 2.460953507559524e-04
2.418870000000000e-01 2.427832093812416e-04
2.425110000000000e-01 2.396448779472246e-04
2.431350000000000e-01 2.366799263503834e-04
2.437590000000000e-01 2.338874497529547e-04
2.443830000000000e-01 2.312660760665166e-04
2.450080000000000e-01 2.288101802729768e-04
2.456320000000000e-01 2.265253408211548e-04
2.462560000000000e-01 2.244047811963627e-04
2.468800000000000e-01 2.224453694011102e-04
2.475040000000000e-01 2.206435692111119e-04
2.481280000000000e-01 2.189954573690113e-04
2.487520000000000e-01 2.174967421057680e-04
2.493760000000000e-01 2.161427828924778e-04
2.500000000000000e-01 2.149286113211982e-04
